iter	Passed	Remaining
411	3216	4591
412	3223	4581
413	3230	4572
414	3236	4562
415	3243	4553
416	3250	4544
417	3257	4536
418	3264	4527
419	3272	4519
420	3281	4512
421	3289	4505
422	3297	4498
423	3306	4491
424	3313	4482
425	3320	4473
426	3327	4465
427	3334	4456
428	3341	4447
429	3348	4439
430	3355	4430
431	3364	4423
432	3371	4414
433	3378	4405
434	3385	4396
435	3392	4388
436	3399	4380
437	3406	4371
438	3414	4363
439	3421	4354
440	3429	4347
441	3437	4339
442	3445	4331
443	3451	4322
444	3459	4314
445	3466	4306
446	3473	4297
447	3481	4289
448	3488	4281
449	3496	4273
450	3503	4265
451	3510	4256
452	3518	4248
453	3525	4239
454	3532	4231
455	3539	4222
456	3547	4214
457	3554	4206
458	3562	4198
459	3570	4191
460	3577	4183
461	3585	4175
462	3592	4167
463	3600	4158
464	3607	4150
465	3614	4141
466	3620	4132
467	3628	4124
468	3635	4115
469	3642	4107
470	3649	4098
471	3655	4089
472	3662	4080
473	3669	4071
474	3676	4062
475	3682	4054
476	3689	4045
477	3696	4036
478	3703	4028
479	3710	4020
480	3717	4011
481	3725	4003
482	3732	3995
483	3740	3987
484	3747	3979
485	3755	3971
486	3762	3962
487	3769	3954
488	3775	3945
489	3782	3936
490	3789	3928
491	3796	3919
492	3803	3911
493	3810	3902
494	3817	3894
495	3824	3886
496	3831	3877
497	3839	3869
498	3846	3862
499	3854	3854
500	3862	3847
501	3870	3839
502	3877	3831
503	3885	3823
504	3892	3815
505	3899	3807
506	3906	3798
507	3913	3789
508	3921	3782
509	3928	3774
510	3936	3767
511	3945	3760
512	3953	3752
513	3960	3744
514	3966	3735
515	3974	3727
516	3981	3719
517	3987	3710
518	3995	3702
519	4002	3695
520	4011	3688
521	4020	3681
522	4026	3672
523	4033	3664
524	4041	3656
525	4048	3648
526	4056	3640
527	4064	3633
528	4074	3627
529	4082	3619
530	4089	3611
531	4096	3603
532	4103	3595
533	4110	3587
534	4118	3579
535	4124	3570
536	4131	3562
537	4138	3553
538	4145	3545
539	4153	3537
540	4161	3531
541	4169	3523
542	4177	3515
543	4184	3507
544	4191	3499
545	4197	3490
546	4204	3481
547	4210	3473
548	4217	3464
549	4225	3457
550	4232	3448
551	4239	3440
552	4246	3432
553	4253	3424
554	4260	3416
555	4268	3408
556	4274	3399
557	4281	3391
558	4288	3382
559	4294	3374
560	4302	3366
561	4309	3358
562	4316	3350
563	4323	3342
564	4330	3334
565	4338	3326
566	4346	3318
567	4353	3311
568	4361	3303
569	4368	3295
570	4376	3288
571	4383	3280
572	4393	3274
573	4402	3267
574	4409	3259
575	4417	3251
576	4424	3243
577	4431	3235
578	4439	3228
579	4447	3220
580	4454	3212
581	4461	3204
582	4468	3196
583	4476	3188
584	4483	3180
585	4490	3172
586	4497	3164
587	4504	3156
588	4511	3148
589	4519	3140
590	4527	3133
591	4534	3124
592	4542	3117
593	4550	3110
594	4558	3102
595	4565	3094
596	4572	3086
597	4580	3078
598	4587	3071
599	4595	3063
600	4602	3055
601	4609	3047
602	4616	3039
603	4623	3031
604	4630	3023
605	4638	3015
606	4645	3007
607	4652	2999
608	4659	2991
609	4666	2983
610	4672	2974
611	4679	2967
612	4686	2958
613	4693	2950
614	4700	2942
615	4707	2934
616	4713	2926
617	4721	2918
618	4728	2910
619	4735	2902
620	4743	2894
621	4750	2887
622	4758	2879
623	4765	2871
624	4772	2863
625	4779	2855
626	4786	2847
627	4793	2839
628	4800	2831
629	4806	2823
630	4813	2814
631	4821	2807
632	4829	2800
633	4836	2791
634	4842	2783
635	4849	2775
636	4856	2767
637	4862	2759
638	4869	2750
639	4876	2743
640	4883	2735
641	4890	2726
642	4896	2718
643	4903	2710
644	4909	2702
645	4917	2694
646	4924	2686
647	4931	2678
648	4938	2670
649	4945	2662
650	4952	2654
651	4959	2646
652	4966	2639
653	4972	2630
654	4979	2622
655	4985	2614
656	4992	2606
657	4999	2598
658	5005	2590
659	5013	2582
660	5020	2574
661	5027	2566
662	5034	2559
663	5041	2551
664	5048	2543
665	5054	2534
666	5061	2526
667	5067	2518
668	5074	2510
669	5082	2503
670	5089	2495
671	5096	2487
672	5102	2479
673	5109	2471
674	5115	2463
675	5125	2456
676	5133	2449
677	5140	2441
678	5147	2433
679	5154	2425
680	5161	2417
681	5168	2410
682	5175	2402
683	5182	2394
684	5190	2386
685	5197	2378
686	5203	2370
687	5210	2362
688	5217	2355
689	5225	2347
690	5232	2339
691	5239	2331
692	5246	2324
693	5252	2315
694	5259	2307
695	5265	2299
696	5272	2292
697	5280	2284
698	5287	2276
699	5294	2269
700	5301	2261
701	5308	2253
702	5315	2245
703	5323	2238
704	5330	2230
705	5338	2223
706	5345	2215
707	5353	2207
708	5360	2200
709	5368	2192
710	5376	2185
711	5384	2177
712	5392	2170
713	5401	2163
714	5409	2156
715	5417	2148
716	5426	2141
717	5433	2134
718	5440	2126
719	5448	2118
720	5455	2111
721	5463	2103
722	5472	2096
723	5479	2089
724	5487	2081
725	5494	2073
726	5501	2065
727	5508	2058
728	5516	2050
729	5524	2043
730	5531	2035
731	5538	2027
732	5546	2020
733	5553	2012
734	5560	2004
735	5567	1997
736	5574	1989
737	5581	1981
738	5588	1973
739	5596	1966
740	5603	1958
741	5611	1951
742	5619	1943
743	5626	1935
744	5633	1928
745	5639	1920
746	5646	1912
747	5653	1904
748	5661	1897
749	5668	1889
750	5676	1881
751	5683	1874
752	5691	1866
753	5698	1859
754	5707	1852
755	5714	1844
756	5722	1836
757	5729	1829
758	5736	1821
759	5743	1813
760	5750	1806
761	5757	1798
762	5764	1790
763	5771	1782
764	5778	1775
765	5785	1767
766	5792	1759
767	5800	1752
768	5809	1744
769	5816	1737
770	5823	1729
771	5831	1722
772	5838	1714
773	5845	1706
774	5851	1698
775	5858	1691
776	5865	1683
777	5872	1675
778	5878	1667
779	5885	1660
780	5892	1652
781	5899	1644
782	5906	1636
783	5912	1629
784	5919	1621
785	5926	1613
786	5932	1605
787	5940	1598
788	5947	1590
789	5955	1583
790	5962	1575
791	5970	1568
792	5977	1560
793	5984	1552
794	5991	1544
795	5998	1537
796	6005	1529
797	6012	1521
798	6018	1514
799	6025	1506
800	6032	1498
801	6039	1491
802	6047	1483
803	6055	1476
804	6062	1468
805	6068	1460
806	6075	1453
807	6082	1445
808	6089	1437
809	6095	1429
810	6102	1422
811	6109	1414
812	6116	1406
813	6123	1399
814	6129	1391
815	6136	1383
816	6144	1376
817	6151	1368
818	6158	1361
819	6165	1353
820	6172	1345
821	6179	1338
822	6185	1330
823	6192	1322
824	6199	1314
825	6206	1307
826	6212	1299
827	6219	1291
828	6226	1284
829	6233	1276
830	6242	1269
831	6249	1261
832	6257	1254
833	6264	1246
834	6272	1239
835	6280	1231
836	6290	1224
837	6299	1217
838	6308	1210
839	6316	1203
840	6323	1195
841	6331	1188
842	6338	1180
843	6346	1173
844	6353	1165
845	6361	1157
846	6368	1150
847	6375	1142
848	6383	1135
849	6390	1127
850	6397	1120
851	6405	1112
852	6412	1105
853	6420	1097
854	6427	1089
855	6434	1082
856	6442	1075
857	6449	1067
858	6456	1059
859	6464	1052
860	6471	1044
861	6478	1037
862	6486	1029
863	6493	1022
864	6500	1014
865	6507	1006
866	6514	999
867	6521	991
868	6529	984
869	6536	976
870	6543	969
871	6550	961
872	6557	953
873	6565	946
874	6572	938
875	6579	931
876	6586	923
877	6594	916
878	6601	908
879	6607	901
880	6615	893
881	6622	885
882	6628	878
883	6635	870
884	6643	863
885	6650	855
886	6657	848
887	6664	840
888	6672	833
889	6680	825
890	6688	818
891	6695	810
892	6701	803
893	6708	795
894	6714	787
895	6721	780
896	6728	772
897	6735	765
898	6742	757
899	6751	750
900	6759	742
901	6767	735
902	6774	727
903	6781	720
904	6788	712
905	6794	704
906	6801	697
907	6809	689
908	6816	682
909	6823	674
910	6830	667
911	6837	659
912	6844	652
913	6851	644
914	6858	637
915	6866	629
916	6875	622
917	6882	614
918	6889	607
919	6897	599
920	6904	592
921	6911	584
922	6917	577
923	6927	569
924	6934	562
925	6941	554
926	6949	547
927	6956	539
928	6964	532
929	6971	524
930	6979	517
931	6986	509
932	6993	502
933	7000	494
934	7007	487
935	7015	479
936	7022	472
937	7029	464
938	7037	457
939	7044	449
940	7052	442
941	7059	434
942	7067	427
943	7073	419
944	7080	412
945	7087	404
946	7094	397
947	7101	389
948	7108	382
949	7115	374
950	7122	366
951	7128	359
952	7135	351
953	7142	344
954	7149	336
955	7155	329
956	7162	321
957	7169	314
958	7176	306
959	7183	299
960	7190	291
961	7197	284
962	7205	276
963	7214	269
964	7221	261
965	7228	254
966	7235	246
967	7243	239
968	7251	231
969	7259	224
970	7267	217
971	7273	209
972	7281	202
973	7288	194
974	7295	187
975	7303	179
976	7310	172
977	7318	164
978	7324	157
979	7332	149
980	7339	142
981	7347	134
982	7353	127
983	7360	119
984	7367	112
985	7374	104
986	7382	97
987	7390	89
988	7396	82
989	7403	74
990	7410	67
991	7418	59
992	7424	52
993	7431	44
994	7439	37
995	7447	29
996	7455	22
997	7463	14
998	7472	7
999	7479	0
